Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
siv_modules:17	['darkolivegreen']	1	0.113910	3.134034	0.109799	0.995920	1.000000	1.000000	1.000000	0.995920	['LTBP1']
siv_modules:4	['lightcyan']	1	0.149200	2.744681	0.139989	0.991100	1.000000	1.000000	1.000000	0.995920	['MEF2C']
siv_modules:29	['yellow']	2	0.763180	1.389905	0.178448	0.959000	1.000000	1.000000	1.000000	0.995920	['SIT1', 'TBC1D7']
siv_modules:9	['darkgreen']	1	0.237420	2.074487	0.215008	0.979050	1.000000	1.000000	1.000000	0.995920	['CACNA1I']
siv_modules:22	['white']	1	0.275260	1.861133	0.244928	0.971680	1.000000	1.000000	1.000000	0.995920	['PTPRD']
siv_modules:28	['midnightblue']	1	0.314210	1.670199	0.272487	0.961810	1.000000	1.000000	1.000000	0.995920	['GLIS3']
siv_modules:33	['green']	1	0.358530	1.479834	0.302297	0.949861	1.000000	1.000000	1.000000	0.995920	['THBS3']
siv_modules:26	['pink']	1	0.381230	1.391266	0.318857	0.944521	1.000000	1.000000	1.000000	0.995920	['LILRA4']
siv_modules:31	['magenta']	1	0.605870	0.722920	0.458265	0.878051	1.000000	1.000000	1.000000	0.995920	['PACS2']
siv_modules:30	['tan']	1	0.666370	0.585605	0.489285	0.856971	1.000000	1.000000	1.000000	0.995920	['TFB1M']
siv_modules:2	['turquoise']	2	2.285540	-0.192535	0.673123	0.600314	1.000000	0.891505	1.000000	0.995920	['BAIAP2', 'CD36']
siv_modules:6	['darkturquoise']	0	0.307360		1.000000	0.731063	1.000000	0.929273	1.000000	0.995920	None
siv_modules:32	['blue']	0	0.929540		1.000000	0.387976	1.000000	0.511125	1.000000	0.995920	None
siv_modules:27	['darkgrey']	0	0.166060		1.000000	0.846222	1.000000	1.000000	1.000000	0.995920	None
siv_modules:3	['black']	0	0.794030		1.000000	0.442066	1.000000	0.511125	1.000000	0.995920	None
siv_modules:7	['cyan']	0	0.501570		1.000000	0.593974	1.000000	0.891505	1.000000	0.995920	None
siv_modules:5	['lightyellow']	0	0.372400		1.000000	0.675873	1.000000	0.891505	1.000000	0.995920	None
siv_modules:1	['red']	0	0.491270		1.000000	0.609694	1.000000	0.891505	1.000000	0.995920	None
siv_modules:8	['royalblue']	0	0.522150		1.000000	0.584694	1.000000	0.891505	1.000000	0.995920	None
siv_modules:23	['salmon']	0	0.219060		1.000000	0.802322	1.000000	1.000000	1.000000	0.995920	None
siv_modules:21	['orange']	0	0.216230		1.000000	0.803062	1.000000	1.000000	1.000000	0.995920	None
siv_modules:19	['lightgreen']	0	0.453870		1.000000	0.628704	1.000000	0.891505	1.000000	0.995920	None
siv_modules:18	['purple']	0	0.407170		1.000000	0.663553	1.000000	0.891505	1.000000	0.995920	None
siv_modules:16	['grey60']	0	0.181650		1.000000	0.832482	1.000000	1.000000	1.000000	0.995920	None
siv_modules:15	['paleturquoise']	0	0.125860		1.000000	0.880731	1.000000	1.000000	1.000000	0.995920	None
siv_modules:14	['darkorange']	0	0.177240		1.000000	0.836082	1.000000	1.000000	1.000000	0.995920	None
siv_modules:13	['darkred']	0	0.183370		1.000000	0.830822	1.000000	1.000000	1.000000	0.995920	None
siv_modules:12	['skyblue']	0	0.164620		1.000000	0.846762	1.000000	1.000000	1.000000	0.995920	None
siv_modules:11	['brown']	0	1.146640		1.000000	0.307407	1.000000	0.404400	1.000000	0.995920	None
siv_modules:10	['yellowgreen']	0	0.175890		1.000000	0.834892	1.000000	1.000000	1.000000	0.995920	None
siv_modules:25	['greenyellow']	0	0.247630		1.000000	0.779852	1.000000	1.000000	1.000000	0.995920	None
siv_modules:24	['steelblue']	0	0.165830		1.000000	0.844022	1.000000	1.000000	1.000000	0.995920	None
