Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
siv_modules:33	['green']	6	1.270930	2.239078	0.002050	0.999660	0.027230	1.000000	0.065599	0.999660	['CBX7', 'ISOC2', 'STARD10', 'THBS3']; ['SRCAP', 'TULP4']
siv_modules:31	['magenta']	7	2.240210	1.643721	0.006650	0.998340	0.048360	1.000000	0.106399	0.999660	['EHMT1']; ['CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'ZNF609']
siv_modules:4	['lightcyan']	2	0.568950	1.813626	0.107119	0.983130	0.638897	1.000000	1.000000	0.999660	['CREB5', 'MEF2C']; None
siv_modules:29	['yellow']	5	2.847590	0.812187	0.156628	0.933711	0.823893	1.000000	1.000000	0.999660	['ZDHHC16']; ['EIF5B', 'GALK2', 'RAI1', 'VPS35']
siv_modules:26	['pink']	3	1.473550	1.025666	0.182548	0.939811	0.823893	1.000000	1.000000	0.999660	['PLEKHG1']; ['CD28', 'MED9']
siv_modules:18	['purple']	3	1.561430	0.942095	0.205298	0.928511	0.823893	1.000000	1.000000	0.999660	None; ['SRCAP', 'SYNCRIP', 'YIPF4']
siv_modules:25	['greenyellow']	2	0.910010	1.136046	0.230298	0.937621	0.823893	1.000000	1.000000	0.999660	None; ['SBNO1', 'SHCBP1']
siv_modules:3	['black']	4	3.023480	0.403790	0.357296	0.818472	0.885414	1.000000	1.000000	0.999660	['ABTB2', 'HDAC5', 'SPAG16']; ['MYT1L']
siv_modules:5	['lightyellow']	2	1.379620	0.535729	0.408276	0.856331	0.910310	1.000000	1.000000	0.999660	['DAO', 'SIPA1L2']; None
siv_modules:30	['tan']	3	2.504200	0.260613	0.460985	0.757042	0.917382	1.000000	1.000000	0.999660	['ZCCHC14']; ['PRPSAP2', 'XPO1']
siv_modules:16	['grey60']	1	0.677600	0.561494	0.500625	0.855391	1.000000	1.000000	1.000000	0.999660	None; ['DAND5']
siv_modules:10	['yellowgreen']	1	0.701230	0.512040	0.520735	0.848942	1.000000	1.000000	1.000000	0.999660	['SORBS2']; None
siv_modules:23	['salmon']	1	0.806840	0.309645	0.558944	0.807462	1.000000	1.000000	1.000000	0.999660	['DUSP5']; None
siv_modules:1	['red']	2	1.882430	0.087404	0.564174	0.709483	1.000000	1.000000	1.000000	0.999660	['OAS2', 'STAT1']; None
siv_modules:21	['orange']	1	0.883150	0.179270	0.595684	0.779912	1.000000	1.000000	1.000000	0.999660	None; ['SERPINC1']
siv_modules:9	['darkgreen']	1	0.902630	0.147793	0.605654	0.773582	1.000000	1.000000	1.000000	0.999660	['CACNA1I']; None
siv_modules:32	['blue']	2	3.494790	-0.805206	0.870351	0.314557	1.000000	0.515587	1.000000	0.999660	['TMEM63A']; ['XPO1']
siv_modules:2	['turquoise']	4	8.738120	-1.127323	0.977900	0.057769	1.000000	0.194150	1.000000	0.999660	['SLC24A3']; ['SDF2', 'SYNPO2L', 'WDR76']
siv_modules:11	['brown']	1	4.250640	-2.087680	0.988490	0.065149	1.000000	0.194150	1.000000	0.999660	['MEGF11']; None
siv_modules:22	['white']	0	1.070480		1.000000	0.327877	1.000000	0.515587	1.000000	0.999660	None; None
siv_modules:27	['darkgrey']	0	0.622290		1.000000	0.533005	1.000000	0.857532	1.000000	0.999660	None; None
siv_modules:28	['midnightblue']	0	1.217220		1.000000	0.286917	1.000000	0.515587	1.000000	0.999660	None; None
siv_modules:19	['lightgreen']	0	1.780470		1.000000	0.159858	1.000000	0.231122	1.000000	0.999660	None; None
siv_modules:17	['darkolivegreen']	0	0.410750		1.000000	0.653043	1.000000	0.994560	1.000000	0.999660	None; None
siv_modules:15	['paleturquoise']	0	0.466370		1.000000	0.624934	1.000000	0.977742	1.000000	0.999660	None; None
siv_modules:14	['darkorange']	0	0.706660		1.000000	0.486295	1.000000	0.830582	1.000000	0.999660	None; None
siv_modules:13	['darkred']	0	0.740190		1.000000	0.469545	1.000000	0.817084	1.000000	0.999660	None; None
siv_modules:12	['skyblue']	0	0.624550		1.000000	0.527135	1.000000	0.857532	1.000000	0.999660	None; None
siv_modules:6	['darkturquoise']	0	1.162900		1.000000	0.300917	1.000000	0.515587	1.000000	0.999660	None; None
siv_modules:7	['cyan']	0	1.870330		1.000000	0.133569	1.000000	0.212080	1.000000	0.999660	None; None
siv_modules:8	['royalblue']	0	2.041910		1.000000	0.116569	1.000000	0.194150	1.000000	0.999660	None; None
siv_modules:24	['steelblue']	0	0.633940		1.000000	0.515585	1.000000	0.857532	1.000000	0.999660	None; None
