id	feature	name
siv_modules:18	FLAD1	purple
siv_modules:18	GDAP2	purple
siv_modules:18	GIMAP1	purple
siv_modules:18	GIMAP4	purple
siv_modules:18	GLMN	purple
siv_modules:18	GMPR2	purple
siv_modules:18	GPSM2	purple
siv_modules:18	HDHD2	purple
siv_modules:18	HEATR1	purple
siv_modules:18	HIF1AN	purple
siv_modules:18	HSBP1	purple
siv_modules:18	HSPA1A	purple
siv_modules:18	IFI27	purple
siv_modules:18	IFI44	purple
siv_modules:18	IL22	purple
siv_modules:18	IMPA1	purple
siv_modules:18	KIAA1324L	purple
siv_modules:18	KIF14	purple
siv_modules:18	KRIT1	purple
siv_modules:18	LDLRAD3	purple
siv_modules:18	MB	purple
siv_modules:18	MCM5	purple
siv_modules:18	METTL4	purple
siv_modules:18	MPHOSPH9	purple
siv_modules:18	MRPL17	purple
siv_modules:18	MRPL42	purple
siv_modules:18	MRPS14	purple
siv_modules:18	MRPS17	purple
siv_modules:18	MRPS18C	purple
siv_modules:18	MYBL2	purple
siv_modules:18	NR1H4	purple
siv_modules:18	NUP88	purple
siv_modules:18	OAS1	purple
siv_modules:18	OIP5	purple
siv_modules:18	PARVG	purple
siv_modules:18	POP5	purple
siv_modules:18	PPID	purple
siv_modules:18	PRPF19	purple
siv_modules:18	QRSL1	purple
siv_modules:18	RACGAP1	purple
siv_modules:18	RFK	purple
siv_modules:18	RHOT1	purple
siv_modules:18	SACM1L	purple
siv_modules:18	SARS	purple
siv_modules:18	SIDT1	purple
siv_modules:18	SLC25A12	purple
siv_modules:18	SLC35A5	purple
siv_modules:18	SLC35B3	purple
siv_modules:18	SLFN5	purple
siv_modules:18	SNAPC3	purple
siv_modules:18	SRCAP	purple
siv_modules:18	STARD3NL	purple
siv_modules:18	SYNCRIP	purple
siv_modules:18	SYNJ2BP	purple
siv_modules:18	TARS	purple
siv_modules:18	TERF2	purple
siv_modules:18	TK1	purple
siv_modules:18	TMEM33	purple
siv_modules:18	TOR1B	purple
siv_modules:18	TRIM38	purple
siv_modules:18	TRIP13	purple
siv_modules:18	TSFM	purple
siv_modules:18	TSR1	purple
siv_modules:18	TTC9C	purple
siv_modules:18	WDR61	purple
siv_modules:18	XRN1	purple
siv_modules:18	YIPF4	purple
siv_modules:18	ZMPSTE24	purple
siv_modules:18	ZNF613	purple
siv_modules:19	ABCB5	lightgreen
siv_modules:19	AGPAT4	lightgreen
siv_modules:19	CACNG3	lightgreen
siv_modules:19	CFTR	lightgreen
siv_modules:19	CLASP1	lightgreen
siv_modules:19	DTWD2	lightgreen
siv_modules:19	ELF3	lightgreen
siv_modules:19	EYA1	lightgreen
siv_modules:19	FBXO30	lightgreen
siv_modules:19	FKBP1B	lightgreen
siv_modules:19	GNAO1	lightgreen
siv_modules:19	GPR15	lightgreen
siv_modules:19	HS3ST2	lightgreen
siv_modules:19	JAG2	lightgreen
siv_modules:19	KIAA0825	lightgreen
siv_modules:19	LAMA2	lightgreen
siv_modules:19	LRG1	lightgreen
siv_modules:19	MBNL2	lightgreen
siv_modules:19	MMP8	lightgreen
